order_id,order_date,product_id,store_id,customer_id,quantity,unit_price,discount,revenue,cost,profit
0RD00866077,2024-11-12,P0032,S052,C027643,3,6.69,0.2,16.06,8.86,7.19
0RD00515555,2024-02-26,P0009,S015,C011331,1,10.13,0.0,10.13,5.41,4.72
0RD00454929,2024-05-31,P0071,S068,C048892,5,8.36,0.2,33.44,19.23,14.21
0RD00838741,2024-08-31,P0195,S060,C006967,2,12.09,0.0,24.18,12.3,11.88
0RD00086849,2023-11-14,P0124,S033,C043934,2,6.53,0.0,13.06,7.12,5.94
0RD00808827,2024-02-19,P0051,S032,C014319,3,11.02,0.0,33.06,16.92,16.14
0RD00818410,2024-10-31,P0064,S085,C012861,4,13.33,0.0,53.32,36.3,17.02
0RD00659434,2024-06-22,P0148,S009,C021147,5,12.97,0.1,58.37,38.38,19.98
0RD00488492,2023-01-18,P0104,S093,C017701,4,5.38,0.2,17.22,11.23,5.98
0RD00679101,2023-05-30,P0046,S096,C012402,1,7.67,0.0,7.67,5.22,2.45
0RD00583671,2024-09-01,P0040,S070,C033981,4,3.44,0.1,12.38,7.0,5.39
0RD00481654,2024-01-20,P0145,S074,C009042,3,11.24,0.0,33.72,19.09,14.63
0RD00079200,2024-07-22,P0150,S052,C022687,1,8.92,0.0,8.92,6.06,2.86
0RD00507802,2023-04-09,P0136,S050,C010958,5,11.68,0.0,58.4,35.3,23.1
0RD00925701,2023-07-27,P0169,S086,C044655,4,5.88,0.1,21.17,11.12,10.05
0RD00211093,2023-11-29,P0059,S045,C048842,3,6.08,0.2,14.59,8.17,6.42
0RD00670954,2023-05-21,P0150,S065,C025751,3,11.59,0.0,34.77,23.02,11.75
0RD00776882,2024-02-04,P0046,S067,C013718,5,7.14,0.0,35.7,24.1,11.6
0RD00423944,2024-11-30,P0191,S030,C010706,5,12.43,0.0,62.15,37.82,24.33
0RD00819686,2024-06-26,P0051,S039,C027612,1,5.03,0.2,4.02,2.37,1.65
0RD00886184,2024-08-15,P0033,S025,C045144,3,11.49,0.0,34.47,22.98,11.49
0RD00380660,2023-04-19,P0116,S065,C045480,2,13.69,0.0,27.38,18.83,8.55
0RD00566526,2024-05-12,P0147,S020,C030482,3,4.69,0.2,11.26,6.23,5.03
0RD00247736,2024-05-30,P0155,S068,C047253,1,10.17,0.15,8.64,5.9,2.75
0RD00704362,2023-07-19,P0084,S051,C018189,5,14.4,0.0,72.0,47.05,24.95
0RD00330249,2023-09-01,P0163,S007,C022464,2,4.19,0.0,8.38,4.3,4.08
0RD00501987,2023-11-04,P0047,S022,C022123,2,6.86,0.0,13.72,7.72,6.0
0RD00282685,2023-01-19,P0009,S024,C041192,2,8.12,0.0,16.24,10.99,5.25
0RD00972258,2023-01-09,P0175,S020,C015951,5,8.59,0.0,42.95,27.2,15.75
0RD00369050,2024-01-02,P0135,S015,C033574,1,14.09,0.15,11.98,6.99,4.99
0RD00815690,2023-08-23,P0000,S080,C035721,3,10.04,0.0,30.12,15.3,14.82
0RD00279522,2023-04-09,P0138,S063,C027149,4,13.63,0.0,54.52,33.22,21.3
0RD00897737,2024-05-07,P0124,S074,C019475,2,5.28,0.2,8.45,5.34,3.11
0RD00227094,2023-04-18,P0070,S067,C010995,4,9.03,0.2,28.9,19.2,9.7
0RD00114300,2024-03-20,P0101,S027,C012833,5,14.18,0.0,70.9,38.65,32.25
0RD00386342,2024-01-21,P0025,S043,C014161,1,14.28,0.1,12.85,8.27,4.58
0RD00422357,2023-04-26,P0008,S056,C022848,4,14.64,0.0,58.56,40.32,18.24
0RD00536342,2024-10-22,P0080,S030,C047503,2,3.78,0.0,7.56,5.29,2.27
0RD00059850,2023-05-28,P0031,S071,C043498,2,7.6,0.0,15.2,8.75,6.45
0RD00007206,2023-05-11,P0111,S022,C014836,4,7.15,0.0,28.6,16.04,12.56
0RD00220099,2023-07-05,P0000,S043,C004589,3,12.84,0.15,32.74,22.2,10.54
0RD00759131,2024-08-10,P0049,S065,C048306,1,11.57,0.0,11.57,7.58,3.99
0RD00084370,2023-01-08,P0080,S016,C032090,3,5.79,0.0,17.37,10.26,7.11
0RD00144921,2024-05-26,P0152,S037,C000261,4,11.48,0.2,36.74,18.44,18.3
0RD00584366,2024-01-04,P0050,S091,C002762,2,12.35,0.2,19.76,13.5,6.26
0RD00733366,2024-08-11,P0198,S081,C011388,1,12.89,0.15,10.96,6.72,4.24
0RD00141304,2024-08-16,P0125,S048,C023928,3,8.42,0.2,20.21,13.56,6.65
0RD00571947,2024-10-27,P0142,S096,C038918,1,9.21,0.0,9.21,5.78,3.43
0RD00261820,2024-09-17,P0101,S062,C009574,4,8.41,0.0,33.64,21.33,12.31
0RD00582045,2024-02-17,P0029,S081,C023955,5,8.1,0.0,40.5,20.29,20.21
0RD00322183,2024-08-17,P0129,S088,C023285,2,7.59,0.0,15.18,8.13,7.05
0RD00550156,2023-08-05,P0170,S060,C031050,4,12.22,0.0,48.88,24.72,24.16
0RD00584459,2023-02-18,P0062,S031,C035946,3,8.15,0.15,20.78,12.17,8.62
0RD00355390,2023-11-10,P0197,S046,C007447,5,9.78,0.0,48.9,30.2,18.7
0RD00081050,2023-06-23,P0000,S079,C023848,3,12.5,0.0,37.5,21.46,16.04
0RD00502558,2023-01-20,P0113,S061,C038088,5,13.95,0.1,62.77,41.85,20.92
0RD00995730,2023-10-04,P0096,S003,C036815,3,8.92,0.1,24.08,15.05,9.04
0RD00332818,2024-01-25,P0044,S079,C042031,1,11.56,0.15,9.83,6.45,3.38
0RD00588203,2023-01-31,P0026,S057,C001766,5,8.7,0.0,43.5,29.39,14.11
0RD00681194,2024-03-16,P0056,S029,C043340,3,13.18,0.15,33.61,21.33,12.28
0RD00429777,2023-04-27,P0101,S077,C007135,5,8.49,0.0,42.45,23.99,18.46
0RD00568900,2024-03-26,P0116,S082,C034821,4,5.33,0.0,21.32,11.7,9.62
0RD00301557,2024-08-18,P0051,S030,C022429,4,11.43,0.0,45.72,31.92,13.8
0RD00898456,2024-05-22,P0030,S089,C044654,5,10.49,0.0,52.45,32.13,20.32
0RD00350177,2023-06-03,P0000,S058,C043303,3,13.15,0.2,31.56,21.94,9.62
0RD00701916,2023-04-01,P0124,S009,C007168,3,13.23,0.15,33.74,18.97,14.77
0RD00215189,2023-02-12,P0158,S043,C022391,4,11.19,0.15,38.05,25.03,13.01
0RD00070925,2023-10-19,P0064,S017,C004305,4,7.72,0.0,30.88,16.5,14.38
0RD00288069,2023-12-08,P0081,S077,C048640,5,11.39,0.0,56.95,29.79,27.16
0RD00953987,2024-07-03,P0143,S036,C001684,3,11.63,0.0,34.89,24.35,10.54
0RD00507893,2023-10-29,P0007,S067,C000108,5,3.54,0.0,17.7,9.55,8.15
0RD00401997,2023-04-11,P0038,S065,C048433,5,10.29,0.0,51.45,30.85,20.6
0RD00436365,2023-11-06,P0078,S053,C020156,3,13.88,0.0,41.64,27.82,13.82
0RD00404785,2023-11-12,P0173,S061,C019738,1,9.82,0.1,8.84,4.77,4.07
0RD00560909,2024-01-29,P0154,S009,C044317,2,6.77,0.1,12.19,7.45,4.74
0RD00688817,2024-06-25,P0080,S061,C007762,5,13.66,0.1,61.47,35.79,25.68
0RD00009468,2023-07-12,P0005,S054,C042844,1,6.99,0.0,6.99,4.73,2.26
0RD00767630,2023-07-21,P0173,S004,C044937,1,11.41,0.2,9.13,5.45,3.68
0RD00877427,2023-01-08,P0129,S003,C027540,5,7.87,0.0,39.35,21.18,18.17
0RD00844872,2023-02-20,P0026,S040,C021443,3,12.61,0.0,37.83,23.68,14.15
0RD00308636,2024-12-13,P0166,S068,C005331,2,8.38,0.0,16.76,11.59,5.17
0RD00388127,2024-08-27,P0200,S026,C014249,2,8.42,0.0,16.84,10.06,6.78
0RD00550544,2024-07-14,P0146,S042,C028345,3,9.81,0.0,29.43,17.26,12.17
0RD00888216,2023-01-20,P0166,S018,C036996,3,6.22,0.1,16.79,10.13,6.66
0RD00963240,2024-09-02,P0028,S005,C048037,1,12.38,0.0,12.38,6.2,6.18
0RD00635174,2023-04-03,P0169,S093,C046668,1,4.08,0.2,3.26,1.74,1.52
0RD00437864,2024-07-14,P0037,S046,C010324,5,3.96,0.15,16.83,10.01,6.82
0RD00899267,2024-11-26,P0072,S085,C043700,4,3.76,0.15,12.78,7.59,5.19
0RD00538304,2023-02-25,P0152,S007,C048800,3,8.62,0.0,25.86,13.09,12.77
0RD00238753,2024-03-30,P0147,S040,C048035,3,9.35,0.15,23.84,12.96,10.88
0RD00351068,2023-06-24,P0018,S034,C033372,5,11.87,0.2,47.48,30.81,16.67
0RD00576081,2023-09-20,P0176,S091,C005209,1,11.04,0.0,11.04,5.53,5.51
0RD00792774,2023-08-17,P0087,S046,C020054,3,8.49,0.15,21.65,14.33,7.32
0RD00820792,2023-07-26,P0012,S081,C014857,5,5.77,0.0,28.85,17.71,11.14
0RD00526608,2024-02-15,P0098,S090,C045916,5,13.37,0.1,60.16,37.81,22.36
0RD00393404,2023-08-31,P0080,S083,C039554,5,6.27,0.0,31.35,21.57,9.78
0RD00231529,2023-02-06,P0096,S003,C036213,1,7.76,0.0,7.76,4.33,3.43
0RD00209942,2024-05-17,P0200,S038,C015488,3,8.83,0.0,26.49,13.64,12.85
0RD00535077,2023-01-02,P0171,S099,C031453,4,11.58,0.15,39.37,25.11,14.26
0RD00351756,2024-05-26,P0069,S047,C040380,4,5.6,0.2,17.92,9.16,8.76
0RD00010513,2023-02-06,P0131,S026,C039757,2,10.5,0.0,21.0,12.02,8.98
0RD00416860,2024-02-23,P0191,S080,C032348,3,13.19,0.1,35.61,18.49,17.12
0RD00501999,2023-10-17,P0070,S065,C010633,5,9.66,0.0,48.3,33.02,15.28
0RD00450165,2023-05-26,P0100,S083,C001745,1,13.69,0.0,13.69,7.3,6.39
0RD00509678,2024-04-26,P0145,S068,C025711,3,11.28,0.0,33.84,18.81,15.03
0RD00277648,2024-05-16,P0016,S006,C001326,5,13.66,0.15,58.05,37.03,21.02
0RD00541290,2023-05-19,P0121,S097,C048091,2,10.59,0.0,21.18,11.17,10.01
0RD00960829,2024-08-05,P0138,S008,C040126,1,5.37,0.2,4.3,2.84,1.46
0RD00230646,2023-08-26,P0152,S055,C022195,3,11.0,0.0,33.0,18.55,14.45
0RD00179829,2023-08-30,P0006,S080,C030997,1,4.12,0.0,4.12,2.57,1.55
0RD00908158,2023-12-29,P0038,S036,C025566,3,13.72,0.0,41.16,21.78,19.38
0RD00380655,2024-03-22,P0180,S068,C002127,3,7.54,0.0,22.62,14.95,7.67
0RD00678493,2024-03-01,P0116,S081,C010006,3,5.29,0.2,12.7,7.15,5.54
0RD00654302,2023-04-01,P0032,S046,C020991,2,7.91,0.0,15.82,8.4,7.42
0RD00198630,2023-01-06,P0147,S021,C013141,3,6.08,0.1,16.42,9.27,7.15
0RD00227967,2023-12-16,P0006,S018,C048518,3,12.97,0.1,35.02,21.76,13.26
0RD00989011,2023-11-07,P0194,S098,C040772,4,3.16,0.0,12.64,8.37,4.27
0RD00442994,2024-02-04,P0143,S027,C022559,1,3.86,0.1,3.47,1.94,1.54
0RD00576509,2023-05-13,P0049,S049,C034410,5,10.8,0.0,54.0,37.74,16.26
0RD00837828,2024-09-03,P0055,S034,C039001,3,14.11,0.0,42.33,21.23,21.1
0RD00581471,2023-08-22,P0121,S074,C003844,1,7.17,0.0,7.17,4.11,3.06
0RD00045697,2024-12-30,P0169,S029,C035345,5,6.35,0.0,31.75,17.82,13.93
0RD00937343,2023-07-16,P0072,S076,C032179,3,13.4,0.0,40.2,22.12,18.08
0RD00750284,2023-04-12,P0044,S079,C001326,1,5.78,0.15,4.91,3.4,1.51
0RD00964701,2023-10-17,P0085,S068,C036379,1,11.43,0.0,11.43,6.68,4.75
0RD00855442,2023-04-15,P0069,S038,C011630,3,11.86,0.0,35.58,22.15,13.43
0RD00461899,2024-06-17,P0080,S047,C016209,4,11.9,0.0,47.6,23.86,23.74
0RD00175112,2024-04-01,P0103,S043,C045006,3,5.84,0.0,17.52,10.47,7.05
0RD00987762,2024-10-28,P0130,S024,C011615,4,6.55,0.0,26.2,16.02,10.18
0RD00090562,2024-01-18,P0136,S013,C004088,5,4.97,0.0,24.85,14.21,10.64
0RD00245985,2023-06-05,P0012,S007,C041859,1,5.14,0.0,5.14,2.84,2.3
0RD00253189,2023-12-02,P0059,S097,C033734,1,10.02,0.0,10.02,6.17,3.85
0RD00444646,2024-01-19,P0039,S057,C019893,4,10.45,0.1,37.62,25.9,11.72
0RD00814984,2023-12-11,P0188,S056,C022107,2,5.33,0.0,10.66,6.67,3.99
0RD00659465,2024-01-18,P0102,S038,C026024,3,8.8,0.2,21.12,11.01,10.11
0RD00683797,2023-09-29,P0153,S061,C033244,1,10.63,0.1,9.57,5.31,4.26
0RD00927614,2023-04-04,P0147,S012,C022796,1,12.77,0.2,10.22,6.04,4.18
0RD00161351,2024-03-12,P0056,S041,C019938,4,14.57,0.2,46.62,23.92,22.7
0RD00126973,2023-08-03,P0029,S092,C005826,2,13.46,0.0,26.92,15.74,11.18
0RD00601527,2023-01-25,P0013,S021,C020317,3,8.83,0.0,26.49,15.58,10.91
0RD00235766,2024-10-28,P0040,S035,C037117,2,13.76,0.15,23.39,13.26,10.14
0RD00996683,2024-11-14,P0027,S042,C012065,3,7.47,0.0,22.41,11.92,10.49
0RD00535304,2023-02-28,P0084,S077,C023760,5,10.68,0.2,42.72,29.22,13.5
0RD00521842,2023-09-18,P0011,S031,C012570,5,3.25,0.0,16.25,9.7,6.55
0RD00167591,2023-09-19,P0069,S021,C010903,3,5.21,0.0,15.63,9.49,6.14
0RD00307583,2023-09-25,P0060,S068,C020605,2,4.97,0.0,9.94,5.99,3.95
0RD00801499,2024-02-27,P0163,S043,C004390,3,14.15,0.0,42.45,26.26,16.19
0RD00670024,2024-04-12,P0164,S095,C036937,3,9.76,0.2,23.42,14.09,9.34
0RD00356068,2023-02-11,P0125,S057,C049239,1,12.72,0.0,12.72,8.04,4.68
0RD00425399,2024-06-15,P0068,S049,C027015,2,5.1,0.0,10.2,6.2,4.0
0RD00125505,2024-11-13,P0082,S030,C039191,1,12.58,0.0,12.58,8.26,4.32
0RD00418072,2024-04-04,P0121,S055,C021672,1,3.67,0.0,3.67,2.04,1.63
0RD00224741,2023-01-02,P0077,S035,C013981,4,14.59,0.0,58.36,34.8,23.56
0RD00824590,2024-03-16,P0062,S031,C023694,3,5.21,0.2,12.5,6.37,6.13
0RD00478505,2023-11-20,P0003,S019,C020999,5,4.67,0.0,23.35,15.78,7.57
0RD00599448,2023-07-31,P0186,S092,C020741,1,7.2,0.1,6.48,4.49,1.99
0RD00055557,2023-12-12,P0189,S069,C016285,5,7.7,0.0,38.5,21.57,16.93
0RD00589237,2023-06-08,P0035,S028,C004026,2,8.39,0.15,14.26,9.59,4.67
0RD00724927,2024-11-20,P0193,S004,C037464,2,7.65,0.15,13.01,8.37,4.63
0RD00720456,2023-04-05,P0112,S015,C020163,1,3.77,0.0,3.77,2.46,1.31
0RD00521992,2024-12-16,P0040,S053,C025934,1,4.46,0.0,4.46,2.64,1.82
0RD00286250,2024-12-25,P0090,S011,C018507,1,10.39,0.0,10.39,6.13,4.26
0RD00561542,2023-05-12,P0146,S031,C004654,5,8.67,0.0,43.35,25.08,18.27
0RD00264661,2024-01-27,P0201,S039,C023749,4,8.31,0.1,29.92,15.81,14.1
0RD00389996,2023-11-15,P0137,S045,C042614,2,10.48,0.0,20.96,14.47,6.49
0RD00735213,2024-06-06,P0035,S047,C033621,2,3.61,0.1,6.5,3.76,2.74
0RD00420720,2023-10-19,P0018,S032,C016682,2,3.52,0.15,5.98,3.55,2.44
0RD00737204,2023-08-12,P0121,S017,C021610,5,6.73,0.0,33.65,20.0,13.65
0RD00892984,2024-05-09,P0184,S016,C038149,5,14.77,0.0,73.85,48.6,25.25
0RD00611709,2024-03-03,P0070,S010,C036449,5,13.36,0.0,66.8,41.82,24.98
0RD00827549,2023-10-06,P0089,S057,C038733,1,3.86,0.0,3.86,2.28,1.58
0RD00848656,2024-10-06,P0090,S063,C017327,3,14.61,0.0,43.83,30.24,13.59
0RD00259982,2023-12-22,P0084,S098,C028367,2,4.58,0.0,9.16,5.03,4.13
0RD00553563,2024-05-06,P0108,S088,C006637,1,8.74,0.15,7.43,4.52,2.91
0RD00317761,2024-10-25,P0130,S063,C012664,3,7.9,0.0,23.7,13.36,10.34
0RD00693196,2024-11-15,P0194,S023,C015920,4,12.47,0.15,42.4,24.38,18.02
0RD00938001,2024-11-12,P0043,S001,C006144,4,6.79,0.1,24.44,13.18,11.27
0RD00229325,2023-07-14,P0158,S024,C013207,2,3.34,0.0,6.68,3.54,3.14
0RD00020457,2023-07-03,P0027,S052,C024587,2,5.96,0.15,10.13,6.67,3.46
0RD00696770,2023-12-05,P0108,S059,C027376,1,6.75,0.0,6.75,4.64,2.11
0RD00840840,2024-12-12,P0180,S002,C012263,1,5.62,0.0,5.62,2.82,2.8
0RD00828793,2023-10-24,P0186,S013,C005482,1,8.68,0.0,8.68,5.07,3.61
0RD00460314,2023-11-27,P0089,S051,C033194,4,14.95,0.15,50.83,28.24,22.59
0RD00034583,2023-07-15,P0187,S070,C013174,5,4.46,0.0,22.3,15.16,7.14
0RD00436867,2023-04-21,P0090,S087,C024735,2,3.94,0.2,6.3,4.2,2.11
0RD00680996,2024-04-19,P0116,S065,C032750,2,14.78,0.2,23.65,12.02,11.63
0RD00867247,2024-08-19,P0029,S013,C012292,4,14.55,0.2,46.56,25.37,21.19
0RD00156553,2024-08-01,P0145,S085,C028379,2,6.96,0.0,13.92,7.58,6.34
0RD00512257,2024-04-12,P0180,S026,C012966,2,12.24,0.0,24.48,14.44,10.04
0RD00783954,2024-05-08,P0172,S091,C013960,3,12.3,0.15,31.37,15.91,15.46
0RD00451144,2023-10-16,P0056,S079,C036145,4,5.16,0.0,20.64,12.89,7.75
0RD00938182,2023-07-07,P0059,S041,C047872,1,11.08,0.0,11.08,7.18,3.9
0RD00108903,2024-08-02,P0178,S096,C044816,3,4.08,0.1,11.02,6.13,4.89
0RD00945789,2024-01-21,P0086,S040,C007078,4,4.37,0.0,17.48,9.17,8.31
0RD00784828,2024-06-18,P0041,S048,C017188,5,14.52,0.0,72.6,49.29,23.31
0RD00038095,2024-12-25,P0053,S005,C030581,5,8.28,0.0,41.4,25.14,16.26
0RD00195165,2023-02-06,P0072,S025,C031030,5,9.3,0.0,46.5,25.13,21.37
0RD00104529,2023-10-31,P0082,S014,C002962,3,14.6,0.0,43.8,24.76,19.04
0RD00452262,2023-09-30,P0103,S058,C013639,4,10.07,0.0,40.28,27.29,12.99
0RD00803713,2024-08-13,P0172,S005,C024655,1,8.37,0.1,7.53,4.44,3.09
0RD00275440,2024-12-10,P0156,S026,C032877,2,12.72,0.15,21.62,11.56,10.07
0RD00607205,2024-05-07,P0158,S034,C029576,3,9.78,0.2,23.47,12.63,10.84
0RD00461582,2023-06-15,P0036,S079,C036142,2,7.83,0.0,15.66,9.64,6.02
0RD00804821,2024-03-13,P0100,S036,C034569,5,11.66,0.1,52.47,30.35,22.12
0RD00130466,2024-10-27,P0015,S071,C030357,2,4.5,0.0,9.0,5.26,3.74
0RD00447866,2024-11-29,P0176,S002,C025370,3,4.18,0.0,12.54,7.56,4.98
0RD00840356,2024-06-13,P0059,S083,C019143,3,11.37,0.0,34.11,18.9,15.21
0RD00354263,2023-02-27,P0199,S059,C014806,5,3.65,0.0,18.25,10.13,8.12
0RD00685526,2023-10-05,P0051,S068,C048030,1,5.47,0.15,4.65,3.18,1.47
0RD00312971,2023-05-19,P0090,S042,C014146,3,8.51,0.1,22.98,13.94,9.03
0RD00679043,2023-11-11,P0092,S030,C010311,4,5.28,0.2,16.9,9.26,7.64
0RD00000553,2023-04-16,P0128,S095,C028556,4,5.25,0.1,18.9,11.02,7.88
0RD00692963,2024-08-19,P0190,S071,C038659,5,12.54,0.1,56.43,38.8,17.63
0RD00985814,2023-07-14,P0125,S053,C028162,2,3.14,0.0,6.28,3.24,3.04
0RD00818652,2024-03-18,P0179,S034,C047314,4,6.48,0.0,25.92,17.67,8.25
0RD00993637,2023-11-12,P0094,S021,C044870,2,4.23,0.0,8.46,5.83,2.63
0RD00528915,2023-01-06,P0075,S045,C023445,1,3.8,0.15,3.23,2.0,1.23
0RD00539684,2024-01-29,P0187,S041,C018447,1,11.42,0.0,11.42,7.47,3.95
0RD00942044,2024-12-01,P0030,S012,C044817,5,3.84,0.0,19.2,11.36,7.84
0RD00274352,2023-05-28,P0147,S052,C005414,3,4.95,0.0,14.85,9.0,5.85
0RD00213566,2023-05-02,P0010,S038,C046523,3,14.06,0.0,42.18,25.31,16.87
0RD00918010,2023-08-10,P0075,S038,C020551,5,3.97,0.15,16.87,8.71,8.17
0RD00418790,2024-09-14,P0103,S076,C032699,5,11.44,0.0,57.2,37.16,20.04
0RD00555263,2024-10-10,P0065,S039,C013860,1,13.73,0.0,13.73,8.98,4.75
0RD00429687,2023-06-17,P0154,S041,C007422,3,12.48,0.15,31.82,15.99,15.84
0RD00656586,2023-04-02,P0103,S030,C011777,4,10.8,0.0,43.2,23.37,19.83
0RD00390296,2024-05-15,P0148,S062,C001776,2,12.11,0.0,24.22,16.63,7.59
0RD00960230,2024-07-04,P0072,S063,C018230,3,12.34,0.0,37.02,21.08,15.94
0RD00566220,2024-10-13,P0105,S076,C021342,2,9.77,0.0,19.54,11.66,7.88
0RD00341816,2023-12-13,P0137,S081,C047347,5,7.81,0.0,39.05,26.24,12.81
0RD00457899,2024-10-30,P0159,S082,C031995,2,10.5,0.1,18.9,10.29,8.61
0RD00704725,2023-03-04,P0017,S043,C025402,4,9.64,0.2,30.85,15.65,15.2
0RD00766010,2023-10-14,P0004,S087,C012312,4,11.48,0.0,45.92,28.18,17.74
0RD00645107,2023-08-15,P0185,S084,C024521,4,13.85,0.0,55.4,32.72,22.68
0RD00239402,2023-09-24,P0045,S010,C004011,2,14.79,0.0,29.58,19.88,9.7
0RD00492698,2024-05-01,P0094,S004,C039648,2,14.82,0.0,29.64,19.6,10.04
0RD00550329,2024-08-15,P0163,S030,C001027,2,10.41,0.0,20.82,12.07,8.75
0RD00656739,2023-04-02,P0043,S040,C007129,1,5.25,0.2,4.2,2.37,1.83
0RD00521053,2023-06-27,P0067,S026,C041406,5,10.48,0.0,52.4,31.0,21.4
0RD00813319,2023-02-10,P0058,S047,C019905,1,13.11,0.0,13.11,8.81,4.3
0RD00613551,2024-08-14,P0023,S060,C037467,5,13.85,0.0,69.25,40.97,28.28
0RD00237740,2024-11-20,P0063,S085,C005925,5,7.34,0.0,36.7,22.79,13.91
0RD00855184,2024-07-23,P0113,S067,C006418,2,13.39,0.0,26.78,15.07,11.71
0RD00924150,2023-12-06,P0034,S051,C024802,1,11.03,0.0,11.03,5.64,5.39
0RD00951895,2023-01-14,P0097,S054,C032666,3,8.51,0.0,25.53,15.19,10.34
0RD00829634,2024-12-01,P0182,S027,C039010,1,12.84,0.0,12.84,8.56,4.28
0RD00102454,2023-02-21,P0017,S047,C005493,4,9.06,0.0,36.24,23.82,12.42
0RD00632290,2024-01-04,P0151,S074,C042307,4,6.32,0.15,21.49,14.43,7.06
0RD00909605,2024-10-17,P0131,S037,C028656,2,13.6,0.0,27.2,17.41,9.79
0RD00586802,2023-05-01,P0093,S033,C035127,4,13.31,0.0,53.24,31.02,22.22
0RD00037091,2023-09-21,P0098,S052,C034261,2,11.93,0.0,23.86,13.72,10.14
0RD00673663,2023-01-14,P0016,S007,C038260,5,3.19,0.0,15.95,10.67,5.28
0RD00548019,2024-03-03,P0126,S028,C046478,4,3.49,0.0,13.96,9.28,4.68
0RD00681860,2024-12-07,P0089,S029,C012500,5,10.44,0.0,52.2,31.0,21.2
0RD00179491,2023-12-16,P0071,S072,C032346,4,12.3,0.1,44.28,30.46,13.82
0RD00023538,2023-07-27,P0200,S013,C042861,1,7.95,0.0,7.95,5.3,2.65
0RD00817849,2023-09-04,P0049,S066,C034925,4,11.42,0.15,38.83,23.92,14.91
0RD00540739,2024-01-24,P0144,S098,C022672,5,13.01,0.0,65.05,38.39,26.66
0RD00900984,2023-02-15,P0004,S026,C011524,3,4.32,0.0,12.96,8.92,4.04
0RD00557611,2023-04-15,P0112,S057,C048975,5,13.22,0.1,59.49,34.95,24.54
0RD00039688,2024-09-26,P0200,S085,C041073,3,9.6,0.15,24.48,12.6,11.88
0RD00326322,2023-12-23,P0150,S089,C006331,3,8.57,0.1,23.14,14.96,8.17
0RD00708108,2023-02-17,P0070,S082,C007604,3,14.39,0.15,36.69,21.8,14.9
